tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N561FX,NORDSTROM INC,a72b34,2024-10-26,2024-10-26 04:47:54+00:00,2024-10-26 08:36:50+00:00,228.9,KMSY,Louis Armstrong New Orleans International Airport,New Orleans,US,29.993401,-90.264673,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998
N561FX,NORDSTROM INC,a72b34,2024-10-25,2024-10-25 22:35:45+00:00,2024-10-25 22:49:12+00:00,13.4,,,,,,,1LA1,Triche Field,Hahnville,US,29.98349952697754,-90.43479919433594
N561FX,NORDSTROM INC,a72b34,2024-10-25,2024-10-25 19:46:35+00:00,2024-10-25 20:21:50+00:00,35.2,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-28,2024-10-28 13:10:25+00:00,2024-10-28 20:40:38+00:00,450.2,KSRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,US,27.394631,-82.554359,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N561FX,NORDSTROM INC,a72b34,2024-10-27,2024-10-27 18:34:11+00:00,2024-10-27 22:06:01+00:00,211.8,,,,,,,KSRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,US,27.394631,-82.554359
N561FX,NORDSTROM INC,a72b34,2024-10-27,2024-10-27 15:00:44+00:00,2024-10-27 16:28:52+00:00,88.1,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-01,2024-11-01 19:56:02+00:00,2024-11-01 23:02:46+00:00,186.7,KILG,Wilmington Airport,Wilmington,US,39.678699,-75.606499,KADS,Addison Airport,Dallas,US,32.9686012268,-96.8364028931
N561FX,NORDSTROM INC,a72b34,2024-11-01,2024-11-01 18:37:22+00:00,2024-11-01 18:55:28+00:00,18.1,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,39.1754,-76.668297,KILG,Wilmington Airport,Wilmington,US,39.678699,-75.606499
N561FX,NORDSTROM INC,a72b34,2024-11-01,2024-11-01 15:10:08+00:00,2024-11-01 17:33:17+00:00,143.2,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,39.1754,-76.668297
N561FX,NORDSTROM INC,a72b34,2024-11-03,2024-11-03 18:42:36+00:00,2024-11-03 20:08:26+00:00,85.8,,,,,,,KMIA,Miami International Airport,Miami,US,25.796011,-80.289751
N561FX,NORDSTROM INC,a72b34,2024-11-03,2024-11-03 16:55:18+00:00,2024-11-03 17:43:11+00:00,47.9,KUTS,Huntsville Regional Airport,Huntsville,US,30.7469005585,-95.5871963501,KHDC,Hammond Northshore Regional Airport,Hammond,US,30.521601,-90.418404
N561FX,NORDSTROM INC,a72b34,2024-11-03,2024-11-03 15:04:45+00:00,2024-11-03 15:42:47+00:00,38.0,KADS,Addison Airport,Dallas,US,32.9686012268,-96.8364028931,KUTS,Huntsville Regional Airport,Huntsville,US,30.7469005585,-95.5871963501
N561FX,NORDSTROM INC,a72b34,2024-11-02,2024-11-02 21:50:00+00:00,2024-11-02 23:29:35+00:00,99.6,KAUO,Auburn University Regional Airport,Auburn,US,32.615101,-85.433998,KADS,Addison Airport,Dallas,US,32.9686012268,-96.8364028931
N561FX,NORDSTROM INC,a72b34,2024-11-02,2024-11-02 14:01:10+00:00,2024-11-02 15:24:24+00:00,83.2,KADS,Addison Airport,Dallas,US,32.9686012268,-96.8364028931,KAUO,Auburn University Regional Airport,Auburn,US,32.615101,-85.433998
N561FX,NORDSTROM INC,a72b34,2024-11-05,2024-11-05 23:14:07+00:00,2024-11-05 23:46:59+00:00,32.9,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803,KPIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
N561FX,NORDSTROM INC,a72b34,2024-11-05,2024-11-05 20:26:55+00:00,2024-11-05 21:04:15+00:00,37.3,KPNE,Northeast Philadelphia Airport,Philadelphia,US,40.082406,-75.010614,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803
N561FX,NORDSTROM INC,a72b34,2024-11-05,2024-11-05 14:37:06+00:00,2024-11-05 15:12:15+00:00,35.2,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803,KPNE,Northeast Philadelphia Airport,Philadelphia,US,40.082406,-75.010614
N561FX,NORDSTROM INC,a72b34,2024-11-05,2024-11-05 05:15:09+00:00,2024-11-05 07:01:08+00:00,106.0,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803
N561FX,NORDSTROM INC,a72b34,2024-11-05,2024-11-05 02:16:47+00:00,2024-11-05 03:25:23+00:00,68.6,KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US,42.114222,-87.901494,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796
N561FX,NORDSTROM INC,a72b34,2024-11-07,2024-11-07 21:13:55+00:00,2024-11-07 22:36:47+00:00,82.9,KORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N561FX,NORDSTROM INC,a72b34,2024-11-07,2024-11-07 20:09:02+00:00,2024-11-07 20:33:59+00:00,25.0,KBIV,West Michigan Regional Airport,Holland,US,42.742901,-86.107399,KORD,Chicago O'Hare International Airport,Chicago,US,41.9786,-87.9048
N561FX,NORDSTROM INC,a72b34,2024-11-07,2024-11-07 17:57:11+00:00,2024-11-07 18:50:06+00:00,52.9,88PA,Mc Coy Airport,Clinton,US,40.539199829100006,-80.4131011963,6MI3,Curt's Place Airport,Zeeland,US,42.76309967041016,-85.98280334472656
N561FX,NORDSTROM INC,a72b34,2024-11-07,2024-11-07 04:12:15+00:00,2024-11-07 05:04:37+00:00,52.4,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403,KPIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
