tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N1MU,Murphy USA Inc.,a00128,2025-02-25,2025-02-25 17:12:08+00:00,2025-02-25 17:36:59+00:00,24.8,KSUA,Witham Field,Stuart,US,27.18169975,-80.22109985,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397
N1MU,Murphy USA Inc.,a00128,2025-02-25,2025-02-25 14:32:46+00:00,2025-02-25 16:28:56+00:00,116.2,,,,,,,KSUA,Witham Field,Stuart,US,27.18169975,-80.22109985
N1MU,Murphy USA Inc.,a00128,2025-02-25,2025-02-25 01:27:38+00:00,2025-02-25 01:58:38+00:00,31.0,KFTW,Fort Worth Meacham International Airport,Fort Worth,US,32.819919,-97.360818,,,,,,
N1MU,Murphy USA Inc.,a00128,2025-02-25,2025-02-25 00:12:35+00:00,2025-02-25 00:48:33+00:00,36.0,,,,,,,KFTW,Fort Worth Meacham International Airport,Fort Worth,US,32.819919,-97.360818
N1MU,Murphy USA Inc.,a00128,2025-02-24,2025-02-24 16:38:55+00:00,2025-02-24 17:12:15+00:00,33.3,KFTW,Fort Worth Meacham International Airport,Fort Worth,US,32.819919,-97.360818,,,,,,
N1MU,Murphy USA Inc.,a00128,2025-02-27,2025-02-27 21:27:12+00:00,2025-02-27 23:10:52+00:00,103.7,KDPA,Dupage Airport,Chicago/West Chicago,US,41.90779877,-88.24859619,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-02-26,2025-02-26 14:17:49+00:00,2025-02-26 15:53:04+00:00,95.2,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KDPA,Dupage Airport,Chicago/West Chicago,US,41.90779877,-88.24859619
N1MU,Murphy USA Inc.,a00128,2025-02-26,2025-02-26 12:50:01+00:00,2025-02-26 13:31:49+00:00,41.8,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-02,2025-03-02 13:33:39+00:00,2025-03-02 15:23:40+00:00,110.0,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KMCO,Orlando International Airport,Orlando,US,28.429399490356445,-81.30899810791016
N1MU,Murphy USA Inc.,a00128,2025-03-02,2025-03-02 12:13:35+00:00,2025-03-02 12:46:37+00:00,33.0,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-04,2025-03-04 13:20:16+00:00,2025-03-04 15:38:28+00:00,138.2,KMCO,Orlando International Airport,Orlando,US,28.429399490356445,-81.30899810791016,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
N1MU,Murphy USA Inc.,a00128,2025-03-09,2025-03-09 20:28:06+00:00,2025-03-09 21:06:20+00:00,38.2,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-11,2025-03-11 17:28:08+00:00,2025-03-11 18:20:21+00:00,52.2,KHEF,Manassas Regional Airport/Harry P. Davis Field,Manassas,US,38.721401,-77.515404,KCLE,Cleveland Hopkins International Airport,Cleveland,US,41.411701,-81.8498
N1MU,Murphy USA Inc.,a00128,2025-03-10,2025-03-10 12:20:41+00:00,2025-03-10 14:32:48+00:00,132.1,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KHEF,Manassas Regional Airport/Harry P. Davis Field,Manassas,US,38.721401,-77.515404
N1MU,Murphy USA Inc.,a00128,2025-03-13,2025-03-13 14:55:57+00:00,2025-03-13 18:03:29+00:00,187.5,,,,,,,,,,,,
N1MU,Murphy USA Inc.,a00128,2025-03-14,2025-03-14 23:14:47+00:00,2025-03-15 01:17:40+00:00,122.9,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-17,2025-03-17 11:59:10+00:00,2025-03-17 12:39:09+00:00,40.0,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-27,2025-03-27 15:30:21+00:00,2025-03-27 16:35:27+00:00,65.1,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2025-03-26,2025-03-26 20:50:03+00:00,2025-03-26 21:57:39+00:00,67.6,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796
