Date,FWONA,NWL,WDAY,^GSPC
2023-09-01,61.220001220703125,9.534668922424316,248.49000549316406,4515.77001953125
2023-09-05,59.279998779296875,9.071734428405762,247.2100067138672,4496.830078125
2023-09-06,60.0,8.858070373535156,248.41000366210938,4465.47998046875
2023-09-07,59.689998626708984,9.045025825500488,250.47000122070312,4451.14013671875
2023-09-08,58.88999938964844,8.849167823791504,250.6300048828125,4457.490234375
2023-09-11,59.20000076293945,8.315014839172363,252.2100067138672,4487.4599609375
2023-09-12,59.47999954223633,8.599896430969238,247.72999572753906,4461.89990234375
2023-09-13,58.75,8.386234283447266,245.19000244140625,4467.43994140625
2023-09-14,59.97999954223633,8.653311729431152,245.0800018310547,4505.10009765625
2023-09-15,59.029998779296875,8.448552131652832,240.86000061035156,4450.31982421875
2023-09-18,60.7599983215332,8.448552131652832,244.3300018310547,4453.52978515625
2023-09-19,60.220001220703125,8.582091331481934,243.10000610351562,4443.9501953125
2023-09-20,59.209999084472656,8.46635913848877,237.8000030517578,4402.2001953125
2023-09-21,56.810001373291016,8.074642181396484,230.1699981689453,4330.0
2023-09-22,56.68000030517578,7.98561954498291,230.82000732421875,4320.06005859375
2023-09-25,56.58000183105469,7.825370788574219,231.58999633789062,4337.43994140625
2023-09-26,55.369998931884766,7.665124893188477,229.24000549316406,4273.52978515625
2023-09-27,55.459999084472656,7.718541145324707,230.80999755859375,4274.509765625
2023-09-28,56.040000915527344,7.745247840881348,211.22000122070312,4299.7001953125
2023-09-29,56.540000915527344,8.039031982421875,214.85000610351562,4288.0498046875
2023-10-02,61.83000183105469,7.709639072418213,213.66000366210938,4288.39013671875
2023-10-03,59.63999938964844,7.14877462387085,207.3000030517578,4229.4501953125
2023-10-04,60.47999954223633,7.059749603271484,209.3699951171875,4263.75
2023-10-05,60.34000015258789,6.757061958312988,205.13999938964844,4258.18994140625
2023-10-06,62.529998779296875,6.579009532928467,213.6300048828125,4308.5
2023-10-09,62.66999816894531,6.347543239593506,217.75,4335.66015625
2023-10-10,61.79999923706055,6.40095853805542,220.9199981689453,4358.240234375
2023-10-11,61.70000076293945,6.303030014038086,222.0,4376.9501953125
2023-10-12,59.869998931884766,6.044855117797852,215.75,4349.60986328125
2023-10-13,59.720001220703125,6.044855117797852,214.88999938964844,4327.77978515625
2023-10-16,61.099998474121094,6.124978065490723,215.6199951171875,4373.6298828125
2023-10-17,62.869998931884766,6.392055034637451,218.07000732421875,4373.2001953125
2023-10-18,61.56999969482422,6.320835113525391,214.61000061035156,4314.60009765625
2023-10-19,60.380001068115234,6.258516311645508,213.25999450683594,4278.0
2023-10-20,59.29999923706055,6.205101013183594,211.16000366210938,4224.16015625
2023-10-23,59.790000915527344,6.035951137542725,209.5800018310547,4217.0400390625
2023-10-24,60.060001373291016,6.3653483390808105,212.3699951171875,4247.68017578125
2023-10-25,57.650001525878906,6.409860610961914,207.2100067138672,4186.77001953125
2023-10-26,56.81999969482422,6.579009532928467,205.97999572753906,4137.22998046875
